,Z_k,CDF_worst,CDF_nominal
0,0.002645399460142548,0.18055555555555555,0.08333333333333333
1,0.004022864139509504,0.3611111111111111,0.16666666666666666
2,0.008130704229577132,0.5416666666666666,0.25
3,0.008130704229577134,0.6666666666666666,0.3333333333333333
4,0.008130704229577136,0.7083333333333333,0.41666666666666663
5,0.008130704229577138,0.7499999999999999,0.49999999999999994
6,0.008130704229577145,0.7916666666666665,0.5833333333333333
7,0.00979976215728835,0.8333333333333331,0.6666666666666666
8,0.01309993857655637,0.8749999999999998,0.75
9,0.015576801049257955,0.9166666666666664,0.8333333333333334
10,0.01562814305354246,0.958333333333333,0.9166666666666667
11,0.03757473827936422,0.9999999999999997,1.0
